ID,SOURCE,TITLE,INFO,TAGS
sample141,sample141.tcl,"Logarithmic spiral","<BR>Splines<BR>Animation",SPIRAL
sample142,sample142.tcl,"Optical rotation","<BR>Animation",SIMMETRY
sample143,sample143.tcl,"Test","<BR>A small GUI for testing the 'autoresize' feature of the 'paint' method'",SVG
sample144,sample144.tcl,"Random Tiles","<BR>4 different square-tiles, randomly rotated",TRUCHET
sample145,sample145.tcl,"Eclipse","<BR>Adapted from an openprocessing.org demo<BR>Blur effect"
sample146,sample146.tcl,"Moon","<BR>Adapted from an openprocessing.org demo",MOON
sample147,sample147.tcl,"Trifoil Knot","<BR>Adapted from an openprocessing.org demo<BR>Animation",CONICAL
sample148,sample148.tcl,"Infinite","<BR>Adapted from an openprocessing.org demo<BR>Animation",CONICAL
sample149,sample149.tcl,"Gum","<BR>Adapted from an openprocessing.org demo<BR>Animation"
sample150,sample150.tcl,"Roots","<BR>Adapted from an openprocessing.org demo<BR>Animation"
sample151,sample151.tcl,"Portraits","<BR>Quick and simple interactive morphing"
sample152,sample152.tcl,"Carlos Cruz-Diez (1)"," ",CRUZ_DIEZ
sample153,sample153.tcl,"Carlos Cruz-Diez (2)"," ",CRUZ_DIEZ
sample154,sample154.tcl,"Carlos Cruz-Diez (3)"," ",CRUZ_DIEZ
sample155,sample155.tcl,"Carlos Cruz-Diez (4)"," ",CRUZ_DIEZ
sample156,sample156.tcl,"Strange effect (1)","<BR>Animation",COMPOP
sample156b,sample156b.tcl,"Strange effect (2)","<BR>Animation",COMPOP
sample157,sample157.tcl,"Moss","<BR>Animation",SHADOW
sample158,sample158.tcl,"Flowers","<BR>Animation",SHADOW
sample159,sample159.tcl,"Foam","<BR>Animation"
sample160,sample160.tcl,"Medusa","<BR>Animation"
sample161,sample161.tcl,"Worm","<BR>Interactive animation",COMPOP
sample162,sample162.tcl,"Organificial","<BR>Adapted from an openprocessing.org demo<BR>Animation",CONICAL
sample163,sample163.tcl,"Visceral","<BR>Adapted from an openprocessing.org demo<BR>Animation",SIMMETRY
sample164,sample164.tcl,"Pilula","<BR>Adapted from an openprocessing.org demo<BR>Animation",CONICAL
sample165,sample165.tcl,"Sunflower","<BR>Adapted from an openprocessing.org demo<BR>Animation",SIMMETRY
sample166,sample166.tcl,"Harriss Spiral","<BR>Step by step animation",SPIRAL
sample166X,sample166X.tcl,"Basic Harriss Spiral","<BR>Basic Harriss Spiral",SPIRAL
sample167,sample167.tcl,"Cohaxial Variations","<BR>Adapted from an openprocessing.org demo<BR>Animation",SIMMETRY
sample168,sample168.tcl,"Cohaxial Rotating Spiral","<BR>Variation of sample167<BR>Animation",SPIRAL SIMMETRY

sample169,sample169.tcl,"Paper cut","<BR>Several layers with shadows",SHADOW
sample170,sample170.tcl,"Snow flake","<BR>Animation",
sample171,sample171.tcl,"Perspective","<BR>SVG image rotating around Y axis, with perspective<BR>Animation",
sample172,sample172.tcl,"ABCD","4 Letters with shadows",
sample173,sample173.tcl,"Yellow dog","<BR>PNG image with added shadow",
sample174,sample174.tcl,"Splash","<BR>Using of masks (and shadows)",MASK
sample175,sample175.tcl,"Rhino","<BR>Dynamic Masks",MASK

sample500,sample500.tcl,"Rainbow Rain","<BR>Animation",CONTRIBUTION
sample501,sample50..tcl,"Fireworks","<BR>Interactive Animation",CONTRIBUTION
